H;W;alpha;beta;;;;;;;;;;;
127;203;451,6;82,5;;;;;;;;;;;
N.ordine;Larghezza (w);Altezza (h);PESO (p);due date;retinatura r;Spessore;Nome ordine;;;;;;;
1;29;99;0.75;22.67;5.56E+00;2.84;hungry people;;;;;;;
2;27;21;0.75;22.67;5.56E+00;2.84;newmartina;;;;;;;
3;25;21;0.75;22.67;6.94E+00;2.84;newmartina;;;;;;;
4;27;31;0.75;22.67;8.33E+00;2.84;cherry;;;;;;;
5;9;31;0.75;22.67;8.33E+00;2.84;farmacia colle;;;;;;;
6;19;44;0.75;22.67;8.33E+00;2.84;tiziana e giuliana;;;;;;;
7;19;34;0.75;22.67;8.33E+00;2.84;whatsapp instagram;;;;;;;
8;37;106;0.75;22.67;5.56E+00;2.84;pucceria pontina;;;;;;;
9;23;106;0.75;22.67;5.56E+00;2.84;pucceria pontina;;;;;;;
10;23;106;0.75;22.67;5.56E+00;2.84;pucceria pontina;;;;;;;
11;23;106;0.75;22.67;8.33E+00;2.84;pucceria pontina;;;;;;;
12;24;119;0.75;22.67;8.33E+00;2.84;mylifecafe;;;;;;;
13;36;18;0.75;22.67;8.33E+00;2.84;sanmartino;;;;;;;
14;20;30;0.5;22.67;8.33E+00;2.84;donAlberto;;;;;;;
15;53;68;1;6;8.33E+00;1.14;170ozKFC;;;;;;;
16;53;68;1;6;5.56E+00;1.14;170ozKFC;;;;;;;
17;53;68;1;6;5.56E+00;1.14;170ozKFC;;;;;;;
18;53;68;1;6;8.33E+00;1.14;170ozKFC;;;;;;;
19;53;68;1;6;8.33E+00;1.14;170ozKFC;;;;;;;
20;45;65;1;6;4.44E+00;1.14;130ozKFC;;;;;;;
21;45;65;1;6;8.33E+00;1.14;130ozKFC;;;;;;;
22;45;65;1;6;8.33E+00;1.14;130ozKFC;;;;;;;
23;45;65;1;6;8.33E+00;1.14;130ozKFC;;;;;;;
24;45;65;1;6;8.33E+00;1.14;130ozKFC;;;;;;;
25;45;65;1;6;8.33E+00;1.14;130ozKFC;;;;;;;
26;51;99;1;6;8.33E+00;1.14;66ozKFC;;;;;;;
27;51;99;1;6;8.33E+00;1.14;66ozKFC;;;;;;;
28;51;99;1;6;8.33E+00;1.14;66ozKFC;;;;;;;
29;51;99;1;6;8.33E+00;1.14;66ozKFC;;;;;;;
30;51;99;1;6;8.33E+00;1.14;66ozKFC;;;;;;;
31;62;109;1;6;6.94E+00;1.14;85ozKFC;;;;;;;
32;62;109;1;6;8.33E+00;1.14;85ozKFC;;;;;;;
33;62;109;1;6;4.44E+00;1.14;85ozKFC;;;;;;;
34;62;109;1;6;8.33E+00;1.14;85ozKFC;;;;;;;
35;62;109;1;6;8.33E+00;1.14;85ozKFC;;;;;;;
36;62;109;1;6;3.89E+00;1.14;85ozKFC;;;;;;;
37;41;68;0.5;3;8.33E+00;1.7;pasqualini;;;;;;;
38;41;68;0.5;3;5.56E+00;1.7;pasqualini;;;;;;;
39;41;68;1;3;6.94E+00;1.7;ricos 9oz;;;;;;;
40;48;78;1;3;6.94E+00;1.7;tostinicaffe;;;;;;;
41;48;78;1;3;6.94E+00;1.7;tostinicaffe;;;;;;;
42;48;78;1;3;5.56E+00;1.7;tostinicaffe;;;;;;;
43;48;78;1;3;5.56E+00;1.7;tostinicaffe;;;;;;;
44;12;50;0.75;8;5.56E+00;2.84;frontevisone;;;;;;;
45;23;50;0.75;8;6.94E+00;2.84;frontevisone;;;;;;;
46;20;50;0.75;8;5.56E+00;2.84;frontevisone;;;;;;;
47;27;50;0.75;8;4.44E+00;2.84;frontevisone;;;;;;;
48;20;40;0.75;8;3.89E+00;2.84;frontevisone;;;;;;;
49;17;40;0.75;8;5.56E+00;2.84;frontevisone;;;;;;;
50;24;40;0.75;8;5.56E+00;2.84;frontevisone;;;;;;;
51;10;40;0.75;8;4.44E+00;2.84;frontevisone;;;;;;;
52;10;35;0.75;8;4.44E+00;2.84;frontevisone;;;;;;;
53;22;35;0.75;8;5.56E+00;2.84;frontevisone;;;;;;;
54;19;35;0.75;6;3.89E+00;2.84;frontevisone;;;;;;;
55;16;35;0.75;6;5.56E+00;2.84;frontevisone;;;;;;;
56;19;50;0.75;6;5.56E+00;2.84;retrovisone;;;;;;;
57;16;40;0.75;6;8.33E+00;2.84;retrovisone;;;;;;;
58;15;35;0.75;6;8.33E+00;2.84;retrovisone;;;;;;;
59;29;27;0.75;6;6.94E+00;2.84;loschiavo;;;;;;;
60;6;9;0.75;6;6.94E+00;2.84;polloesfizi;;;;;;;
61;10;16;0.75;6;5.56E+00;2.84;macelleriademena;;;;;;;
62;21;29;0.75;6;3.89E+00;2.84;yamahashop;;;;;;;
63;8;29;0.75;6;8.33E+00;2.84;yamahashop;;;;;;;
64;28;75;0.75;6;8.33E+00;2.84;mulino d'oro;;;;;;;
65;28;75;0.75;6;8.33E+00;2.84;mulino d'oro;;;;;;;
66;7;15;0.75;6;4.44E+00;2.84;opera;;;;;;;
67;30;19;0.75;6;8.33E+00;2.84;lavalle;;;;;;;
68;20;17;0.75;6;5.56E+00;2.84;salumeria lagenuina;;;;;;;
