Spessore;H;W;alpha;beta;;;
1.14;127;203;451.6;82.5;;;
2.84;127;203;464.5;85;;;
1.7;127;203;451.6;82.5;;;
2.54;127;203;464.5;85;;;
1.13;106;152;319.3;90;;;
N.ordine;Larghezza (w);Altezza (h);PESO (p);due date;retinatura r;Spessore;Nome ordine
104;12;50;0.75;8;5.56E+00;2.84;frontevisone
105;23;50;0.75;8;6.94E+00;2.84;frontevisone
106;20;50;0.75;8;5.56E+00;2.84;frontevisone
107;27;50;0.75;8;4.44E+00;2.84;frontevisone
108;20;40;0.75;8;3.89E+00;2.84;frontevisone
109;17;40;0.75;8;5.56E+00;2.84;frontevisone
110;24;40;0.75;8;5.56E+00;2.84;frontevisone
111;10;40;0.75;8;4.44E+00;2.84;frontevisone
112;10;35;0.75;8;4.44E+00;2.84;frontevisone
113;22;35;0.75;8;5.56E+00;2.84;frontevisone
114;19;35;0.75;6;3.89E+00;2.84;frontevisone
115;16;35;0.75;6;5.56E+00;2.84;frontevisone
116;19;50;0.75;6;5.56E+00;2.84;retrovisone
117;16;40;0.75;6;8.33E+00;2.84;retrovisone
118;15;35;0.75;6;8.33E+00;2.84;retrovisone
119;29;27;0.75;6;6.94E+00;2.84;loschiavo
120;6;9;0.75;6;6.94E+00;2.84;polloesfizi
121;10;16;0.75;6;5.56E+00;2.84;macelleriademena
122;21;29;0.75;6;3.89E+00;2.84;yamahashop
123;8;29;0.75;6;8.33E+00;2.84;yamahashop
124;28;75;0.75;6;8.33E+00;2.84;mulino d'oro
125;28;75;0.75;6;8.33E+00;2.84;mulino d'oro
126;7;15;0.75;6;4.44E+00;2.84;opera
127;30;19;0.75;6;8.33E+00;2.84;lavalle
128;20;17;0.75;6;5.56E+00;2.84;salumeria lagenuina
129;26;101;0.25;6;8.33E+00;2.84;dolcezero
130;41;101;1;24;8.33E+00;1.14 HD;1607g iceman aroma
131;41;101;1;24;3.89E+00;1.14 HD;1607g iceman aroma
132;41;101;1;24;4.44E+00;1.14 HD;1607g iceman aroma
133;41;101;1;24;4.44E+00;1.14 HD;1607g iceman aroma
134;41;101;1;24;5.56E+00;1.14 HD;1607g iceman aroma
135;25;101;1;24;5.56E+00;1.14 HD;cocodimama
136;25;101;1;24;8.33E+00;1.14 HD;cocodimama
137;45;101;1;24;8.33E+00;1.14 HD;cocodimama
138;50;120;1;24;6.94E+00;1.14;paul
139;50;120;1;24;6.94E+00;1.14;paul
140;40;124;1;24;3.89E+00;1.14;dyn
141;66;63;0.5;24;5.56E+00;1.14;mozzarella
142;44;41;0.5;24;5.56E+00;1.14;mozzarella
